video_id,duration_s,processed_frames,processed_fps,face_detection_rate,au06_cheek_raise_proxy_mean,au06_cheek_raise_proxy_std,au06_cheek_raise_proxy_p05,au06_cheek_raise_proxy_p50,au06_cheek_raise_proxy_p95,au06_cheek_raise_proxy_activity_per_s,au12_lip_corner_pull_proxy_mean,au12_lip_corner_pull_proxy_std,au12_lip_corner_pull_proxy_p05,au12_lip_corner_pull_proxy_p50,au12_lip_corner_pull_proxy_p95,au12_lip_corner_pull_proxy_activity_per_s,au09_nose_wrinkle_proxy_mean,au09_nose_wrinkle_proxy_std,au09_nose_wrinkle_proxy_p05,au09_nose_wrinkle_proxy_p50,au09_nose_wrinkle_proxy_p95,au09_nose_wrinkle_proxy_activity_per_s,au10_upper_lip_raise_proxy_mean,au10_upper_lip_raise_proxy_std,au10_upper_lip_raise_proxy_p05,au10_upper_lip_raise_proxy_p50,au10_upper_lip_raise_proxy_p95,au10_upper_lip_raise_proxy_activity_per_s,au24_lip_press_proxy_mean,au24_lip_press_proxy_std,au24_lip_press_proxy_p05,au24_lip_press_proxy_p50,au24_lip_press_proxy_p95,au24_lip_press_proxy_activity_per_s,au45_blink_proxy_mean,au45_blink_proxy_std,au45_blink_proxy_p05,au45_blink_proxy_p50,au45_blink_proxy_p95,au45_blink_proxy_activity_per_s,cheek_composite_proxy_mean,cheek_composite_proxy_std,cheek_composite_proxy_p05,cheek_composite_proxy_p50,cheek_composite_proxy_p95,cheek_composite_proxy_activity_per_s,mouth_open_proxy_mean,mouth_open_proxy_std,mouth_open_proxy_p05,mouth_open_proxy_p50,mouth_open_proxy_p95,mouth_open_proxy_activity_per_s,mouth_asymmetry_proxy_mean,mouth_asymmetry_proxy_std,mouth_asymmetry_proxy_p05,mouth_asymmetry_proxy_p50,mouth_asymmetry_proxy_p95,mouth_asymmetry_proxy_activity_per_s,head_yaw_proxy_mean,head_yaw_proxy_std,head_yaw_proxy_p05,head_yaw_proxy_p50,head_yaw_proxy_p95,head_yaw_proxy_activity_per_s,head_roll_deg_mean,head_roll_deg_std,head_roll_deg_p05,head_roll_deg_p50,head_roll_deg_p95,head_roll_deg_activity_per_s,mean_abs_head_yaw_proxy,max_abs_head_yaw_proxy,mean_abs_head_roll_deg,max_abs_head_roll_deg,quality_tier,occlusion_risk
2025-12-23_14-26-24_Orna_1,161.25,16126,100.0,1.0,-0.7715342350727824,0.019556698025531352,-0.8085847778176594,-0.7713070043305527,-0.7464707359665989,0.07354702232646139,-5.8402966096244515e-05,0.025806967645998533,-0.0544745883290164,0.0035834928330655,0.0306563392602767,0.06902923237713303,0.37521395793974277,0.009637698592056454,0.35989427082252806,0.37395076466410326,0.39373887628018356,0.05098658905307868,-0.39646139833829686,0.018141534187381188,-0.42831433077299386,-0.39412140401256485,-0.3739064804986279,0.07548853815841661,-0.017876911265948005,0.04122591516442574,-0.12738980273460562,-0.00281503946681685,-0.000967070817568175,0.10108845778396824,-0.6044387469452719,0.07508940812982362,-0.6616770263396856,-0.6270290708874353,-0.4314130878346398,0.2770584702744666,-0.38935134545905853,0.01253269731648164,-0.411415215416444,-0.3889055306217517,-0.3716855614470609,0.040218405422028515,0.017876911265948005,0.04122591516442574,0.000967070817568175,0.00281503946681685,0.12738980273460562,0.10108845778396824,0.03872523986613112,0.018561982171073126,0.00608649112185115,0.039972692182225,0.06384170780279072,0.050483900707902755,-0.030153247460609267,0.03626569591364238,-0.0699800284240677,-0.0301510274518223,0.022331868596211175,0.056041003836936415,-1.797332548291384,2.0114642374901086,-4.604448778881848,-1.7248533708952944,1.0848467403072883,3.793962781810841,0.03720219872010828,0.2612236920268463,2.1210805640426393,12.77913379581718,good,low
2025-12-23_14-33-37_Roy_1,127.68,12769,100.0,1.0,-0.6696283592579916,0.026936981092746226,-0.7196970859150161,-0.6661424316409784,-0.6330388018654766,0.11313132407746748,0.05563084397331358,0.02279564995597342,0.02651171597792682,0.0518717680434506,0.10185578027747393,0.06567674779218306,0.39513490107055627,0.023069654777748465,0.35035682910788046,0.3984976561666134,0.4265095533875597,0.09529860072518566,-0.33721314320330603,0.030252765839269592,-0.3915219750343429,-0.3369090279701763,-0.28882771192062495,0.10676131237051788,-0.012521933484746957,0.015221952280718336,-0.02096553118358164,-0.0099992693420563,-0.003983355511106986,0.05117285242154896,-0.4012807106895402,0.19169968101413962,-0.6284831806496591,-0.4719822973461696,-0.07602457941626642,1.1217927824232958,-0.3170702194959947,0.019832370315180908,-0.35326237345846767,-0.313788427007976,-0.28987556340560316,0.06715621788045607,0.012521933484746957,0.015221952280718336,0.0039833555111069615,0.0099992693420563,0.020965531183581628,0.05117285242154896,0.04914982660056969,0.05470478175843208,0.0032520567372693004,0.0302023369765851,0.19029651649847065,0.09340061634787329,-0.047514507420152396,0.0947072073378279,-0.28640961332887516,-0.025225528482608,0.039274988453195214,0.09270554990667654,-0.7041158120883902,9.1481280310555,-24.606627311330254,1.5375681698540116,7.864138482188503,7.132690405165635,0.06168797033242519,0.4948769214464814,5.649161572360436,41.66864384993893,good,large_yaw;large_roll
2025-12-23_14-37-45_Marina_1,129.0,12901,100.0,1.0,-0.7325365258679537,0.023719016115529443,-0.759495493530139,-0.7377549289444663,-0.6752094265078855,0.0701819870630515,0.062494931762966346,0.0368922497731026,0.0098058137875821,0.0570638981684605,0.127803232738892,0.037415672872246036,0.36747325074462506,0.01451016361701856,0.3490713493282485,0.3654015885153166,0.3918998225280317,0.04613456936403723,-0.35948739852131556,0.029984277855116342,-0.4125615908516086,-0.3598664099381589,-0.3120719677488439,0.050873879102822754,-0.009793540863774033,0.029960022959950778,-0.0210989232052593,-0.0033444275643096,-0.0010983660143946,0.028240005421036638,-0.4996391458803631,0.1788621130751675,-0.6181732223225231,-0.5961623233335465,-0.0600816154904969,0.38580995010663816,-0.34317633087543425,0.02478904704561409,-0.3726622447556892,-0.3449011162925017,-0.2982346627574608,0.03490747762415554,0.009793540863774033,0.029960022959950778,0.0010983660143946,0.0033444275643096,0.0210989232052593,0.028240005421036638,0.06826448086551044,0.02617054673838513,0.0143752581165124,0.0736745178469358,0.1001269193274104,0.04303602682183766,0.0119502865630006,0.053068002415515916,-0.1037513453406114,0.0214235933380401,0.0602472617525671,0.049087819222850645,2.4311777973241733,2.6334638269266644,-2.329300436112458,2.7915920785131165,5.051852940290879,2.7407979231807547,0.03501809071250603,0.2586869023714505,3.077529951143121,11.639592917773928,good,low
2025-12-23_14-40-26_Maya_1,127.6,12761,100.0,0.9995298174124285,-0.7363353112221509,0.031511635958989946,-0.7682878319719522,-0.7434125112370054,-0.6705067471860641,0.08269114721861281,-0.028071627180596633,0.02041720786450551,-0.06526448388444724,-0.0271410311431959,0.002234771497984729,0.06440670760533009,0.3631909426951112,0.01783957310422609,0.3245632031144915,0.3675860302697874,0.3834223933529343,0.06321866896644858,-0.43088194315245393,0.0314604265113154,-0.49093837498585163,-0.4276408257845152,-0.37382892343878404,0.09413878937836774,-0.007895638728462771,0.009136585439234294,-0.01921701547660457,-0.0057844498411835,-0.0010252950151114905,0.03489648493503914,-0.5321165264946883,0.11469291517191307,-0.6179397970260234,-0.5681339163762054,-0.24339044544928182,0.26421327692248564,-0.39842962718506725,0.016502174915068342,-0.4218615177525125,-0.3994604941464252,-0.36938320092121757,0.05227739941597795,0.007895638728462771,0.009136585439234294,0.00102529501511149,0.0057844498411835,0.01921701547660457,0.03489648493503914,0.04484974472712452,0.03134811129076622,0.00958546476155551,0.038213564571353,0.09020612521885434,0.07808270156217942,-0.0438339530467116,0.0814991079097167,-0.23214821423138216,-0.0274082808758205,0.01868994516629868,0.08368552786000147,-2.5831669459126725,4.783604255335288,-11.329963266681714,-1.4425126920634168,1.304148200318222,5.128040608625413,0.05038822520795201,0.5938135439377348,3.0863469785204902,36.54748907214221,good,large_yaw;large_roll
2025-12-28_14-03-58,1279.64,127965,100.0,0.2618059625678897,-0.8475381043069308,0.337605284397688,-1.6200623201955735,-0.7227089062308116,-0.5498706987340258,0.3093387017365052,-0.02284758609089262,0.1206015173927336,-0.2510629884416962,-0.0109886903356873,0.13527843220501443,0.1420284773416948,0.3579013021294979,0.0256992705685974,0.31806601147215996,0.3585528329246501,0.40404286564247216,0.12498359239186839,-0.4589383737780873,0.21931012791264837,-0.9443352312290935,-0.4056684981865149,-0.13958822908083868,0.2255645773478695,-0.027574365935607657,0.06413776620715177,-0.1573947038912032,-0.008147113008974551,-0.0014527511052056389,0.15197950196340448,-0.5304922890066522,0.3357837830658274,-1.268190178086846,-0.49724573334867783,-0.10279217666275961,0.7035865238661791,-0.4431080213919702,0.21902534635657786,-0.9314410761650476,-0.36894694909982484,-0.18941715835707473,0.17304290720233825,0.027574365935607657,0.06413776620715177,0.0014527511052056354,0.008147113008974551,0.1573947038912025,0.15197950196340448,0.14415245163323817,0.11309886498397918,0.020940492408244287,0.10210684185172175,0.37841233839536187,0.18422677967010526,-0.08400922452451132,0.1304567007109084,-0.31455011867936816,-0.07204847713700666,0.10555428611975921,0.18340698598628102,6.28946289345652,21.39771450949396,-21.711077116487516,1.1872144048893984,48.900232347495205,13.242239141439093,0.11882430794218037,0.6151145456924084,16.4059735214163,61.89298826252823,review_or_exclude,low_face_detection;large_yaw;large_roll
2026-01-08_10-25-28,15.0,1501,100.0,1.0,-0.7883215537170217,0.01373647903525385,-0.8108138548140764,-0.7844142119651909,-0.7728138196796721,0.07521878469466327,0.03917561057396237,0.024071658509756302,-0.0025909540232349,0.0403280536970315,0.0747950487185695,0.13859814779713925,0.386794639284803,0.007951287189860273,0.3758084373043693,0.3864975270846598,0.3987312131962909,0.06231402960739168,-0.39823837249310773,0.02325244574878969,-0.4363090237126917,-0.3959588721152171,-0.3642628569420527,0.14070249592521422,-0.03810456424208106,0.04215095728978104,-0.1302281636155162,-0.0196907652438782,-0.0011639303821639,0.2726494080882775,-0.5753544845695319,0.058688581257417466,-0.6363208514565026,-0.5786073714747073,-0.5416185514300137,0.26829587725359205,-0.382461438545389,0.011867449364621275,-0.3999232300698119,-0.3832731126949527,-0.3641641674026672,0.04947527774505578,0.03810456424208106,0.04215095728978104,0.0011639303821639,0.0196907652438782,0.1302281636155162,0.2726494080882775,0.029662021680750713,0.0210387825293702,0.0024768687145698,0.0273285249395428,0.0679215629230127,0.0843107322879666,-0.0378977866935272,0.04227616355490925,-0.1065849874943589,-0.0435521188122706,0.0440868946087371,0.08019837862935783,-4.7107515659791295,2.399331046433737,-9.177247358436794,-4.392497343515468,-0.0342408455870525,5.208836551044884,0.04948346390368879,0.1379306792613409,4.827760449835227,11.999403920066891,good,low
2026-01-20_14-38-34_Ariella,273.59,27360,100.0,0.9763888888888889,-0.7244926271043267,0.06802845199904257,-0.739120381599799,-0.7218261091731695,-0.6849436790532747,0.0787593182099872,0.03642858373092259,0.041921924553279,0.0034330781637059355,0.03597908735784295,0.09648456964223513,0.041831352737957544,0.3693542327566129,0.01248711680239432,0.35494442261417397,0.3691417973879655,0.38159071436681286,0.045169428864149305,-0.3748578085314683,0.045053652109904134,-0.4200211817185316,-0.3694058219873283,-0.3487739930318332,0.05890456670324709,-0.010275599206938628,0.03524090347925965,-0.011873218706381892,-0.0038192181778868997,-0.001464104816353261,0.03532414311190165,-0.4992979580156599,0.13326795571157476,-0.6024727218223529,-0.5155703250758589,-0.14671419409659162,0.4156671567493651,-0.35430728396829075,0.04048871816656506,-0.38174586091556073,-0.35122847274985924,-0.3280617325258154,0.04240501225879912,0.010275599206938628,0.03524090347925965,0.00146410481635326,0.0038192181778868997,0.011873218706381757,0.03532414311190165,0.0625375115791426,0.03721176285034617,0.024416106186502445,0.0569298972328061,0.13370287184486634,0.04374116912936803,0.05237956284310438,0.0798214870892332,0.00415720778167311,0.05926552215508185,0.14213958471035157,0.05074334578304414,6.223786816027979,5.504859086959934,1.5734859696189514,6.6714800563080745,13.575628591591702,3.5098977990022497,0.07137723612666355,0.6322773878385722,7.127747535803008,45.90262403693159,good,large_yaw;large_roll
2026-01-20_14-44-42_Maya,241.24,24125,100.0,0.9969740932642487,-0.7008380863803143,0.014274181525533051,-0.7130948586665956,-0.7018187537431256,-0.6856991084260876,0.04054425440035216,-0.05564789245444207,0.022675369111634883,-0.07723652650803958,-0.06039364489392815,-0.009699592124194816,0.03295311433031867,0.34792034429249313,0.010520399707087007,0.33114320722804763,0.34775537296891923,0.3600824440312992,0.025931632593254945,-0.4155743797861513,0.015887436348840357,-0.4373442399633126,-0.415244906636397,-0.39536027985503136,0.037140991573291704,-0.006191488177564609,0.014041302318185839,-0.016119838336952016,-0.003506427790345,-0.000683093830450685,0.021611713019517483,-0.5038819189489049,0.06527756171930049,-0.5709254845215698,-0.5170867738509121,-0.42771163509356286,0.09575017311740232,-0.3906867862069693,0.010854292781682687,-0.4013974693879999,-0.39144703364231476,-0.3778081017224889,0.0234566050766926,0.006191488177564609,0.014041302318185839,0.0006830938304506851,0.003506427790345,0.01611983833695202,0.021611713019517483,0.0531898617189653,0.013936193644379008,0.035174048848935484,0.0519733604627548,0.0745985164748978,0.033223435679396424,0.05916867758674665,0.018964648620175533,0.037134517120745475,0.06013029074311285,0.07581602354325732,0.0360459608102855,6.470405535695719,1.7300901946778255,4.453054661241245,6.450031538373517,8.459494785485516,2.3530403198160896,0.06012182164531714,0.363433913409208,6.548373480278733,25.132264012934268,good,large_roll
P1H31277,305.02,30503,100.0,0.9974428744713635,-0.7635297375934177,0.030283172160288405,-0.7877671314735714,-0.7618143452111217,-0.7292395675053266,0.05247117531919893,0.0157407558109348,0.016621811498821103,-0.004124884266374319,0.015278458749305,0.03954520690234722,0.030529439722501744,0.4096322014298939,0.015234909759323179,0.382013405121091,0.4110499881214004,0.4300063186452525,0.04715979931498273,-0.4701518523586367,0.02378724009291641,-0.49439964627417127,-0.472033750474277,-0.4348692297220547,0.050974841124506565,-0.012686854379446158,0.026564070921549082,-0.03700681820327198,-0.0069302942324954,-0.0032645093248359603,0.033267720005727835,-0.33374084373603974,0.12189129991927754,-0.4682757849353176,-0.3610446919600333,-0.07707325576846319,0.3066043936288605,-0.40598027804703984,0.019798403674081873,-0.4242889215563324,-0.4065171404843657,-0.38021491822952763,0.03188004596880189,0.012686854379446158,0.026564070921549082,0.00326450932483596,0.0069302942324954,0.03700681820327194,0.033267720005727835,0.09645930082035695,0.030117284952818676,0.02710917243517664,0.1059229098159668,0.125941373267989,0.036861106527163054,-0.06061358381445081,0.040647900799359586,-0.0990807475504827,-0.0616015584581577,-0.025128369146041003,0.03783083353894336,-6.499999953457742,3.3727084687184106,-9.006799941789055,-7.47234545638455,0.6234239033775467,2.1669137158046103,0.06574784236141415,0.4391747358923544,7.0089020789844705,21.57155865699643,good,large_roll
P1H42065,285.08,28509,100.0,0.9888807043389807,-0.811869980152858,0.08551966206401475,-0.9069651055077022,-0.8047896226056235,-0.739328554604932,0.1686305280162762,0.08293045207047607,0.02345694347673662,0.05642355822706071,0.08166315503566815,0.11895195614479646,0.08132796966710605,0.4222915090242559,0.019772515532717708,0.3830083985833724,0.42749338528248193,0.44288621229015024,0.08912187659281516,-0.40826975739022675,0.07554573759212896,-0.5204873007191987,-0.3968267685901828,-0.3349312443279791,0.1407897498621858,-0.010247112257467878,0.016289171408510553,-0.029138212552204674,-0.007169433211334101,-0.0019446129168406506,0.051289315334175765,-0.4550178045053206,0.16657811719500373,-0.610389980553309,-0.4952430312801148,-0.11615744317234107,0.5828919040140619,-0.3790697618242029,0.05222154423569672,-0.4494920687723722,-0.3726257300651522,-0.3331204880228219,0.09630157897457334,0.010247112257467878,0.016289171408510553,0.00194461291684065,0.007169433211334101,0.029138212552204643,0.051289315334175765,0.0320306779455691,0.0458538967025229,0.0020141088953958453,0.0199493260175902,0.12653207899389932,0.10185570704812658,-0.09092553600992473,0.08962240348434733,-0.31609750628299943,-0.0750663812893639,-0.0028251076126652387,0.10744386338145809,-0.8261250145026374,5.695917761065403,-11.914752430662293,0.3205993364031048,4.077439558301646,7.2435433216318375,0.09277281602283896,0.5633965002654983,3.213010155540663,63.10841903494823,good,large_yaw;large_roll
P1L42069,307.36,30737,100.0,0.9782021667696913,-0.7232358042431397,0.0807194627757673,-0.7909664052472521,-0.7133420805811583,-0.6665827427560937,0.11050941720809453,0.01326930308262223,0.036186957361076036,-0.05057681113434555,0.0217329744570617,0.04560714817913557,0.08561499087585572,0.3889335262149306,0.022351777014518244,0.35473788673376955,0.3920840824989278,0.4215617528686869,0.0671358031177641,-0.37206915681843244,0.06669067655027115,-0.4594110049066994,-0.3628197388324791,-0.3036706856182541,0.12742600015483224,-0.029752410825837555,0.05027276908175562,-0.11646630609310939,-0.0138509231050777,-0.002675910466491004,0.1392574871054992,-0.5023318327229528,0.14252972600481859,-0.6475051060323376,-0.5198680883146063,-0.24942998127654295,0.30304395198398704,-0.36067855265965,0.052361611230302044,-0.4073058833827722,-0.3556052681303105,-0.3175638364666641,0.07940608409874449,0.029752410825837555,0.05027276908175562,0.0026759104664910004,0.0138509231050777,0.1164663060931092,0.1392574871054992,0.03663516309093207,0.038643739208132244,0.0025677965136171902,0.0242277473775192,0.10213422313137945,0.08011450284382446,-0.05179688311662772,0.07130193794946992,-0.12152934345819887,-0.0467106409289144,0.0041367697397699365,0.07953668286787835,-4.723231098220515,4.422569317162515,-9.085278650827124,-3.816011655611488,0.24146137018666902,4.788985927487456,0.0656153566656753,0.5747034878291933,5.240186039211992,44.46235450230101,good,large_yaw;large_roll
P2H31220,305.6,30561,100.0,0.9829194070874644,-0.7044312479559027,0.08154391208315234,-0.7599090353127127,-0.6982926051509646,-0.6286208931048998,0.17907325810254426,0.06225712485447594,0.05093832080591028,-0.0014945358592692894,0.0706084233737426,0.11538255080348125,0.1297133147458283,0.38584038163289813,0.02866020950126312,0.33867703762303597,0.3911008673479395,0.42004052718787677,0.09954064747916772,-0.34141437305688777,0.07141804865751974,-0.4402523975936132,-0.3284753238382545,-0.26059010181303804,0.16996724539929514,-0.05139242669600031,0.0972992505927117,-0.25441334492788836,-0.007440870175815,-0.0014301857888436317,0.2956308045260199,-0.440793873049215,0.19456270787286747,-0.6053634906647223,-0.5064476304949114,-0.044243711246509505,0.7010363073619047,-0.32786283205277145,0.061023886810979075,-0.38252056510914995,-0.3200149847979243,-0.2697592551568696,0.11306489817097826,0.05139242669600031,0.0972992505927117,0.0014301857888436302,0.007440870175815,0.25441334492788825,0.2956308045260199,0.03618855395158328,0.03435692172122742,0.0024642777476983203,0.0280521759320518,0.10451564888616195,0.1284858750529116,-0.04474822127959269,0.07786350015000193,-0.17003269291601414,-0.0327812012967474,0.02219405010398874,0.10567176010782653,-1.9752568256401932,4.237868017492422,-9.55070879644087,-1.3913963005530234,3.334717701823152,7.749514237693893,0.05113881967495576,0.6249062044086148,3.189178958970688,30.129758524523808,good,large_yaw;large_roll
P2H42009,286.92,28693,100.0,0.9803087861150803,-0.6978030868947204,0.07032437836301349,-0.7677693578943432,-0.7013074627245202,-0.5919642662141025,0.1325988283579303,0.02770851026836608,0.04633120165078484,-0.02543581392212679,0.023318205191889,0.1049006387928335,0.07807657200491416,0.3606071196168291,0.020675239621532525,0.3300661334436186,0.35745495662470766,0.39660088151442624,0.07834703126117383,-0.3846565391136432,0.062203519777244975,-0.4625506604595804,-0.38647700802339957,-0.28054711876185956,0.1121074744919668,-0.014280185521565241,0.03451142431827093,-0.08116952932977342,-0.00486677846079385,-0.0012452614483329453,0.0634757815898603,-0.3717085415550933,0.18794020245108875,-0.6249274512874425,-0.39918604233128785,-0.038831519734468134,0.6095309209989703,-0.35158370524666577,0.04842408811156362,-0.4100972856743458,-0.3531458121606059,-0.27352685995086135,0.07631806909638787,0.014280185521565241,0.03451142431827093,0.001245261448332945,0.00486677846079385,0.08116952932977313,0.0634757815898603,0.05474611448085608,0.05872399609108049,0.0076352438034104604,0.043352150066368694,0.14338171856199214,0.09544880748729653,-0.005663200025663389,0.1090114831024942,-0.13451031996353266,0.00072496302391045,0.11986807769599649,0.10957879311214312,-5.434645801244942,6.947201410428075,-13.474375563142221,-5.070747308515308,1.2822707646319775,6.710178570820613,0.05505046540496513,0.7095082239388878,6.422436226616356,49.35772524603787,good,large_yaw;large_roll
P2L40002,317.2,31721,100.0,0.9824721793133886,-0.7355005160304818,0.14813011630931805,-0.7688823843593436,-0.7122539193142013,-0.6760972342222972,0.1188329086544917,0.009389452633715205,0.023854791677481967,-0.02112161294783556,0.0095728814710486,0.048209486174406437,0.05347633931522697,0.38982033763365476,0.019160202899167755,0.35709372972515474,0.3923799362066029,0.41306574737908774,0.07099954287290146,-0.42033030152127465,0.10051803212926645,-0.48027047929708555,-0.40403462162722,-0.36169209812696956,0.0953659584123537,-0.008457997846290402,0.025173644343333697,-0.01329136760606572,-0.0048387787943485,-0.00180599716886434,0.03333957587469713,-0.5138127070352672,0.2002573375045647,-0.6234976876387809,-0.5303688513262483,-0.09215721857047393,0.60811035570418,-0.3821471216393471,0.08472962647735097,-0.40116392540599577,-0.3705952989359573,-0.34361941893409953,0.06664884509114767,0.008457997846290402,0.025173644343333697,0.00180599716886434,0.0048387787943485,0.013291367606065719,0.03333957587469713,0.017357141005035805,0.021782686518882176,0.0009487097772737601,0.0113448622387859,0.0631585617453549,0.062101368955271595,0.039195683269136736,0.0922292418961551,-0.024317312341790697,0.0570184495359977,0.08535156688190486,0.06432418729196518,3.1254531019818073,3.129886268847789,-3.341518908071203,3.6058018744724927,6.122359631385312,4.67026809059877,0.07045407847983653,0.6218299008839523,3.944168008384299,39.13034298735082,good,large_yaw;large_roll
P2L42107,345.72,34573,100.0,0.9345732218783444,-0.7801577185492895,0.14321587060129337,-1.024559652129499,-0.7530944678282443,-0.6661548969305183,0.20741928775563806,0.049442281622392725,0.06839050564683917,-0.09741933958250526,0.0624096081337436,0.10657638900472335,0.1167505712874028,0.4015456318521761,0.021553964426576932,0.360055283265305,0.4064963264597634,0.42626163577787096,0.1042786655032019,-0.38029859598338467,0.10490744664810468,-0.5598750727081623,-0.3668576089831796,-0.287018801238241,0.16849533513464002,-0.03860331936163011,0.10142605072688675,-0.2729640107577235,-0.0054376067080695,-0.00103630013301825,0.1433259006987956,-0.38091558963137695,0.25568271251430935,-0.678317129577906,-0.4095519856989875,-0.0449261379376186,0.6941707465646548,-0.37033801097009383,0.09925732619439656,-0.5515241213799834,-0.3553804119543148,-0.2915974082370769,0.11896317035528182,0.03860331936163011,0.10142605072688675,0.00103630013301825,0.0054376067080695,0.2729640107577235,0.1433259006987956,0.0695093550117559,0.05395465466765465,0.0069534384233074,0.0801488145742358,0.1466639627637629,0.1310801827586573,0.03556795845140895,0.11466403516729069,-0.2588125770731399,0.0703910566464209,0.11256109572449499,0.12227365746807319,5.270215247658276,5.54646477713701,-5.040215162994983,5.561271342540383,10.792312154635969,8.703227384387818,0.09318990009506822,0.6269872841092692,6.707371293861236,33.780145377442366,usable_review,large_yaw;large_roll
